index,title,artist,propertyA,materialA,propertyB,materialB,propertyC,materialC,propertyD,materialD,transform,application,texture,final property,keyword,link
72, Recycle HDPE Plastic,Atomic Shrimp,plastic,plastic, , , , , , ,heat,composite,hard,material,plastic heatpress hdpe recycle flat tile,https://www.youtube.com/watch?v=W_XUJwINdLw
73,Grape pomace / agar,LABVA,food,grape,glycerin,glycerin,algae,agar agar, , ,heat,bioplastic,hard,bioplastic,dry hard translucent material,https://materiom.org/recipe/36
74,Walnut shell | mycelium WS01,Laboratorio de Biofabricación FADEU   Sebastian Rodriguez  ,food,nut shell,fungi,mycelium,chemical,flour, , ,heat,composite,hard,material,composite mug bowl rough solid,https://materiom.org/recipe/33
75,Aqua Shelltic,Kit Sam Lam Bing Yim Secondary School,algae,seaweed,food,egg shell,vinegar,vinegar,,,heat,bioplastic,flexible,bioplastic,food wrap transparent translucent stretch flexible calcium lactate,http://startupbeat.hkej.com/?p=73612
76,Ari Jónsson,Ari Jónsson,algae ,red algae powder,water,water,,,,,heat,bioplastic,hard,bioplastic,red algae powder bottle mug bioplastic biodegradable translucent,https://www.dezeen.com/2016/03/20/ari-jonsson-algae-biodegradable-water-bottles-iceland/
77,From Peel to Peel ,Emma Sicher,food,fruit peel,cellulose,cellulose,,,,,mix,bioplastic,hard,bioplastic,fermented microbial cellulose grow bioplastic translucent food package,https://www.dezeen.com/2018/11/13/sustainable-food-packaging-emma-sicher-peel/?li_source=LI&li_medium=bottom_block_1
78,Bio Iridescent Sequin,Elissa Brunato,Cellulose,Cellulose,,,,,,,grow,textile,hard,material,grow cellulose shining fashion textile,https://www.dezeen.com/2019/08/02/bio-iridescent-sequin-elissa-brunato-sustainable-fashion/?li_source=LI&li_medium=rhs_block_2
79,,,algae,red algae, , , , , , ,heat,bioplastic,soft,bioplastic,algae transparent translucent bioplastic ,
80,,,animal,animal bone, , , , , , ,heat,glue,soft,bioresin,bone glus natural resin bio-resin,
81,,,starch,starch,glycerin,glycerin,vinegar,vinegar,water,water,heat,bioplastic,flexible,bioplastic,translucent,
82,,,starch,starch,glycerin,glycerin,vinegar,vinegar,oil,oil,heat,bioplastic,flexible,bioplastic,translucent,
83,,,food,banana peel ,vinegar,vinegar,food,honey, , ,heat,bioplastic,soft,bioplastic,composite soft ,
